geneID	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
AT1G170801	9.80689113380669e-21	0.325154542919672	0.193	0.576	2.23312718007912e-16	24	AT1G17080
AT5G098902	1.45253978275906e-20	0.433307429284907	0.12	0.433	3.30757833932066e-16	24	AT5G09890
AT2G32260	1.54250522989585e-20	0.392954358305359	0.099	0.395	3.51243865899585e-16	24	AT2G32260
AT5G399501	1.58063982744624e-20	0.401009509628494	0.208	0.603	3.59927495107784e-16	24	AT5G39950
AT4G314802	2.47746329164052e-20	0.37764012490749	0.111	0.412	5.64143166139462e-16	24	AT4G31480
AT2G332201	2.94071167982684e-20	0.286994914570426	0.22	0.628	6.6962945661337e-16	24	AT2G33220
AT5G406702	3.11685698017928e-20	0.268947031360496	0.081	0.356	7.09739502956624e-16	24	AT5G40670
AT3G117002	3.74297033594484e-20	0.31156401316817	0.117	0.421	8.52311775197999e-16	24	AT3G11700
AT5G45410	5.73233015101825e-20	0.394787024360639	0.105	0.403	1.30530889868837e-15	24	AT5G45410
AT1G19580	7.12585747996182e-20	0.254954640302198	0.063	0.322	1.62262900676211e-15	24	AT1G19580
AT1G056203	9.54987553252101e-20	0.262159006892797	0.09	0.37	2.17460215751036e-15	24	AT1G05620
AT1G09920	1.14268434623608e-19	0.325403916902558	0.078	0.345	2.60200652481417e-15	24	AT1G09920
AT2G204203	2.78080920020737e-19	0.401454093233997	0.19	0.555	6.3321806297922e-15	24	AT2G20420
AT1G207701	3.3191475685584e-19	0.311217037892678	0.072	0.33	7.55803092836434e-15	24	AT1G20770
AT5G533301	4.54493529391921e-19	0.283345762468192	0.06	0.308	1.03492721577834e-14	24	AT5G53330
