locus_name	symbol	full_name
Solyc00g500178.1	Solyc00g500178.1	Solyc00g500178.1
Solyc00g500179.1	Solyc00g500179.1	Solyc00g500179.1
Solyc00g500180.1	Solyc00g500180.1	Solyc00g500180.1
Solyc00g500181.1	Solyc00g500181.1	Solyc00g500181.1
Solyc00g500182.1	Solyc00g500182.1	Solyc00g500182.1
Solyc00g500183.1	Solyc00g500183.1	Solyc00g500183.1
Solyc00g500184.1	Solyc00g500184.1	Solyc00g500184.1
Solyc00g500185.1	Solyc00g500185.1	Solyc00g500185.1
Solyc00g500186.1	Solyc00g500186.1	Solyc00g500186.1
Solyc00g500187.1	Solyc00g500187.1	Solyc00g500187.1
Solyc00g500188.1	Solyc00g500188.1	Solyc00g500188.1
Solyc00g500189.1	Solyc00g500189.1	Solyc00g500189.1
Solyc00g500190.1	Solyc00g500190.1	Solyc00g500190.1
Solyc00g500191.1	Solyc00g500191.1	Solyc00g500191.1
Solyc00g500192.1	Solyc00g500192.1	Solyc00g500192.1
Solyc00g500193.1	Solyc00g500193.1	Solyc00g500193.1
Solyc00g500194.1	Solyc00g500194.1	Solyc00g500194.1
Solyc00g500195.1	Solyc00g500195.1	Solyc00g500195.1
Solyc00g500196.1	Solyc00g500196.1	Solyc00g500196.1
Solyc00g500197.1	Solyc00g500197.1	Solyc00g500197.1
Solyc00g500198.1	Solyc00g500198.1	Solyc00g500198.1
Solyc00g500199.1	Solyc00g500199.1	Solyc00g500199.1
Solyc00g500200.1	Solyc00g500200.1	Solyc00g500200.1
Solyc00g500201.1	Solyc00g500201.1	Solyc00g500201.1
Solyc00g500202.1	Solyc00g500202.1	Solyc00g500202.1
Solyc00g500203.1	Solyc00g500203.1	Solyc00g500203.1
Solyc00g500204.1	Solyc00g500204.1	Solyc00g500204.1
Solyc00g500205.1	Solyc00g500205.1	Solyc00g500205.1
Solyc00g500206.1	Solyc00g500206.1	Solyc00g500206.1
Solyc00g500207.1	Solyc00g500207.1	Solyc00g500207.1
Solyc00g500208.1	Solyc00g500208.1	Solyc00g500208.1
Solyc00g500209.1	Solyc00g500209.1	Solyc00g500209.1
Solyc00g500210.1	Solyc00g500210.1	Solyc00g500210.1
Solyc00g500211.1	Solyc00g500211.1	Solyc00g500211.1
Solyc00g500212.1	Solyc00g500212.1	Solyc00g500212.1
Solyc00g500213.1	Solyc00g500213.1	Solyc00g500213.1
Solyc00g500214.1	Solyc00g500214.1	Solyc00g500214.1
Solyc00g500215.1	Solyc00g500215.1	Solyc00g500215.1
Solyc00g500216.1	Solyc00g500216.1	Solyc00g500216.1
Solyc00g500217.1	Solyc00g500217.1	Solyc00g500217.1
Solyc00g500218.1	Solyc00g500218.1	Solyc00g500218.1
Solyc00g500219.1	Solyc00g500219.1	Solyc00g500219.1
Solyc00g500220.1	Solyc00g500220.1	Solyc00g500220.1
Solyc00g500221.1	Solyc00g500221.1	Solyc00g500221.1
Solyc00g500222.1	Solyc00g500222.1	Solyc00g500222.1
Solyc00g500223.1	Solyc00g500223.1	Solyc00g500223.1
Solyc00g500224.1	Solyc00g500224.1	Solyc00g500224.1
Solyc00g500225.1	Solyc00g500225.1	Solyc00g500225.1
Solyc00g500226.1	Solyc00g500226.1	Solyc00g500226.1
Solyc00g500227.1	Solyc00g500227.1	Solyc00g500227.1
Solyc00g500228.1	Solyc00g500228.1	Solyc00g500228.1
Solyc00g500229.1	Solyc00g500229.1	Solyc00g500229.1
Solyc00g500230.1	Solyc00g500230.1	Solyc00g500230.1
Solyc00g500231.1	Solyc00g500231.1	Solyc00g500231.1
Solyc00g500232.1	Solyc00g500232.1	Solyc00g500232.1
Solyc00g500233.1	Solyc00g500233.1	Solyc00g500233.1
Solyc00g500234.1	Solyc00g500234.1	Solyc00g500234.1
Solyc00g500235.1	Solyc00g500235.1	Solyc00g500235.1
Solyc00g500236.1	Solyc00g500236.1	Solyc00g500236.1
Solyc00g500237.1	Solyc00g500237.1	Solyc00g500237.1
Solyc00g500238.1	Solyc00g500238.1	Solyc00g500238.1
Solyc00g500239.1	Solyc00g500239.1	Solyc00g500239.1
Solyc00g500240.1	Solyc00g500240.1	Solyc00g500240.1
Solyc00g500241.1	Solyc00g500241.1	Solyc00g500241.1
Solyc00g500242.1	Solyc00g500242.1	Solyc00g500242.1
Solyc00g500243.1	Solyc00g500243.1	Solyc00g500243.1
Solyc00g500244.1	Solyc00g500244.1	Solyc00g500244.1
Solyc00g500245.1	Solyc00g500245.1	Solyc00g500245.1
Solyc00g500246.1	Solyc00g500246.1	Solyc00g500246.1
Solyc00g500247.1	Solyc00g500247.1	Solyc00g500247.1
Solyc00g500248.1	Solyc00g500248.1	Solyc00g500248.1
Solyc00g500249.1	Solyc00g500249.1	Solyc00g500249.1
